,Message,Length
17542,Ha noob,7
17543,alright I appreciate it :),26
17544,there are tons of videos on youtube explaining how game hacking works,69
17545,taking into context that you’re into cheat development i’d suggest you to learn how memory works,96
17546,making a calculator a simple game,33
17547,then gradually go bigger,24
17548,then make small projects like taking input and printing,55
17549,learn from it,13
17550,there’ll be people explaining what to do,40
17551,to learn how to do i simply google it,37
17552,basic projects,14
17553,i made small projects,21
17554,what i did it,13
17555,dont use chatgpt,16
17556,ill tell you what,17
17557,god knows,9
17558,or you might resort to skidding,31
17559,you’ll end up losing interest and leaving,41
17560,do not use,10
17561,NO.,3
17562,Aight,5
17563,well thats perfect because I dont know very much thanks,55
17564,it explains only very basics thing tho,38
17565,cheers,6
17566,it depends on how ur shuffle6 is defined,40
17567,u got it wrong,14
17568,"isnt it shuffle6(semi, ...)",27
17569,can someone point me in the right direction to learn C++ please,63
17570,cause its the same thing as L->global,37
17571,though why isn't decrypting lua_state + 8 and then casting it to global_state work,82
17572,getting it rn,13
17573,ill compare in a bit,20
17574,send me ur shuffle6 again,25
17575,lurker,6
17576,its still funny though,22
17577,thats random,12
17578,though why the fuck does it go to mousebutton2,46
17579,mainthread dif from original,28
17580,still doesnt work,17
17581,thats interesting,17
17582,"yeah ik but i'm just saying, its how i do things some times",59
17583,i'm the type of person to spent multiple hours on something,59
17584,that isnt my point,18
17585,"if that happenes, i'm just gonna fix it then",44
17586,all over again,14
17587,so youll have to find the issue,31
17588,whilst doing that,17
17589,and then break something,24
17590,I would literally do all this in C if I didn't have to use luau lib,67
17591,and then restructure it later,29
17592,but right now i'm trying to atleast make something work,55
17593,i could make the code better,28
17594,ive been doing C++ for like 2-3 months,38
17595,i mean true,11
17596,idek C++ tbh,12
17597,"i mean i mostly learned java, only started learning c++ 1 year ago while in college",83
17598,gahdamn,7
17599,u mean,6
17600,ugly code,9
17601,realest code,12
17602,i will try this,15
17603,don't worry,11
17604,I didnt analyze new dump,24
17605,itll take a bit,15
17606,its still *() - (),18
17607,imma still check,16
17608,its the same,12
17609,vmvalue,7
17610,which is at the first position,30
17611,its still lua_state + 8,23
17612,well even if i got shuffle wrong,32
17613,for global decryption,21
17614,but ill check newest dump,25
17615,I forgot to check,17
17616,like 30min max,14
17617,it shouldnt take long,21
17618,better to work with,19
17619,even if ur not finished,23
17620,I would rewrite it,18
17621,its still ugly,14
17622,except L->global,16
17623,most of it works,16
17624,apparently it doesnt,20
17625,it looks ugly as shit,21
17626,its ass,7
17627,you should remake ur whole src,30
17628,for mainthread offset,21
17629,either that or af8 is wrong,27
17630,I think ur just a noob,22
17631,to a valid global_state,23
17632,it still doesn't point,22
17633,how roblox does it,18
17634,when i get it decrypted,23
17635,yeah but ur a pro haxxor man,28
17636,how can you explain,19
17637,True for me,11
17638,that checks out,15
17639,it is 32,8
17640,its + 32 then i think,21
17641,you use a4 right?:,18
17642,ye that'd make sense,20
17643,i forgot about that,19
17644,hes not on newest,17
17645,its not + 8 for him,19
17646,lemme check rq,14
17647,so its 100% lua_state + 8,25
17648,they use L->global,18
17649,and its the first thing they do,31
17650,yeah obv,8
17651,ik for a fact its used internally in lua_newthread (inlined),60
17652,idk abt that offset,19
17653,then try it in cheat engine,27
17654,print it out,12
17655,with uintptr_t,14
17656,but when you use this,21
17657,well actually it should be global state,39
17658,hm wtf,6
17659,from what i can tell,20
17660,+ 8 is global state,19
17661,is that the right offset,24
17662,```*(_qword*)*(_qword*)(lua_state + 8) - (lua_state + 8)```,59
17663,"also yk whats funny, i tried it how they get global state from lua state internally",83
17664,well wtf now,12
17665,idk why though,14
17666,i also have this,16
17667,ok yep my global satte is fucked,32
17668,cant I just,11
17669,thats what i do to check,24
17670,has a valid lua_state,21
17671,and see if the offset for mainthread,36
17672,you would have to check in cheat engine,39
17673,as in L->global is invalid?,27
17674,maybe its not a valid global state,34
17675,idfk why,8
17676,this fails,10
17677,`LUAU_ASSERT(page->blockSize == kSizeClassConfig.sizeOfClass[sizeClass]);`,74
17678,but yeah this shit crashes for me,33
17679,u get the idea,14
17680,I just have this,16
17681,and then just vm_value1<global_State*>,38
17682,then just include offsets,25
17683,in newgcoblock,14
17684,for whatever reason this shit fails,35
17685,i just do this,14
17686,I can access L->global just fine,32
17687,idk how u do vmvalues but I made my own wrapper,47
17688,"weird though, cause i tried all vmvalues and it was still an invalid global_state",81
17689,or through the vmvalue,22
17690,do you access it through decrypted_global?,42
17691,Mainly because I haven't reversed stacksize encryption yet,58
17692,I'm struggling with some other shit now,39
17693,I can access global now,23
17694,mainthread still doesn't point to a valid lua state,51
17695,its still wrong,15
17696,but when accesing that in cheat engine,38
17697,"also not sure if you saw, but i tested it with lua_state + 8 using how roblox does it internally and then printing that out",123
17698,shuffle6 depends on update,26
17699,it should be vmvalue1,21
17700,i have the same problem with accesing L->global,47
17701,all shuffles r right,20
17702,yeah but that doesnt mean,25
17703,<a:Check:1178466082000994408>,29
17704,"`#define LUAVM_SHUFFLE6(sep, a0, a1, a2, a3, a4, a5) a4 sep a0 sep a5 sep a2 sep a3 sep a1`",91
17705,looks like a valid ptr to me,28
17706,ru sure its right now,21
17707,thanks 🙏,8
17708,ye ok that was the issue,24
17709,ok ima update that rq,21
17710,ye thats wrong,14
17711,"`#define LUAVM_SHUFFLE6(sep, a0, a1, a2, a3, a4, a5) a0 sep a4 sep a2 sep a3 sep a1 sep a5`",91
17712,whats ur shuffle,16
17713,ok then idfk,12
17714,its storage - this,18
17715,version-43ad1853ad91427d,24
17716,what version,12
17717,my shit's wrong apparently,26
17718,what's the current encryption for L->global ?,45
17719,Real shit,9
17720,IC hooking is gay,17
17721,never said assembly was not needed,34
17722,i'd believe him over you,24
17723,he is the most smartest person in this server,45
17724,9e9 said computers run on binary or somes hit,45
17725,what do you mean,16
17726,you need to write some assembly,31
17727,we need nuclear retard role in ninovium,39
17728,same goes for IC hooking,24
17729,need assembly,13
17730,like operating systems,22
17731,low level stuff,15
17732,happy?,6
17733,"(it was years ago, now it's replaced by high level languages)",61
17734,you got it wrong boss,21
17735,as in from scratch,18
17736,gang when are we giving this man nuclear retard role 🙏,54
17737,its not meant to be written by humans,37
17738,yes obviusly,12
17739,it's computer generated language,32
17740,assembly is not meant to be written manually by hand,52
17741,Pro assembly programmer 🗣️ 🔥,28
17742,o ok,4
17743,open source lvl 3 executor,26
17744,wtf is the xeno executor,24
17745,ban without appeal pls,22
17746,can we get these xeno pasters out of here,41
17747,can anyone please help me with setting up xeno executor,55
17748,.gg/nsfw,8
17749,Send me dat server,18
17750,i join all servers,18
17751,pole,4
17752,ur a nn,7
17753,stfu hamster,12
17754,ur in here to skid,18
17755,keep skidding monkey,20
17756,Me,2
17757,oo,2
17758,known mankind,13
17759,biggest larper,14
17760,who else here codes in rust,27
17761,But fr I can't find the offset for the getter,45
17762,That's a Roblox typa thing to do,32
17763,obv roblox predicts all possible property indexes and inlines them into the property getter function,100
17764,So is the Get function in GetSet inlined?,41
17765,if true then rape,17
17766,"println!(""Is under 13: {}"", is_under_13);",41
17767,bro stop how hacker,19
17768,[sigma](,8
17769,"WaitForSingleObject(hThread, INFINITE);",39
17770,why is this so realistic,24
17771,: (,3
17772,I added you again btw,21
17773,claimed a stolen nitro and got reported for some stupid shit,60
17774,I deleted my old account cuz it was about to get deleted lol,60
17775,qnd both of u got github default pfpd,37
17776,your behavior,13
17777,act,3
17778,its how you axt,15
17779,alright pixeluted get off the alt,33
17780,"So if I have spy on my name, then I am your alt?",48
17781,otter pfp,9
17782,ru the ficello I know,21
17783,selfish,7
17784,Not being selfish,17
17785,with somebody giving a clue,27
17786,"I got it solved, it's alr now",29
17787,now i know everything,21
17788,Anyone,6
17789,"I am doing something, but I want this""  answered",48
17790,what r u tryna do,17
17791,-# .,4
17792,"Another help here, so if int3 seperates functions\nwhat would it be?",68
17793,are you doing this on latest roblox lol?,40
17794,Relating to this again,22
17795,google int3,11
17796,What does this mean?,20
17797,the first thing that comes after the int3,41
17798,"Another question, the int3 is the gaps",38
17799,"make your own private key, patch the roblox client public key and sign the joinscript with the private key",106
17800,if you wanna make a joinscript take a look at the roblox joinscript,67
17801,"Wait, that is not what I meant",30
17802,and you wanna jmp this lol?,27
17803,<2018 is easier,15
17804,Not really,10
17805,on 2018+ rbxsig is diff,23
17806,are you trying to patch some old clients,40
17807,"Anyway, thanks",14
17808,Wait? You're from Limbo...,26
17809,literally --rbxsig,18
17810,Can you like screenshot and circle it please 🫠,46
17811,no the one under,16
17812,Ye that one,11
17813,the one over there,18
17814,"I need some assistance of this question. \n**""what is the thing that starts the function with the signature check?""**",117
17815,Pixelated from bloxsense?,25
17816,well there'd pixel in your name,31
17817,best bypass,11
17818,real shit,9
17819,Thats actually disable_hyperion,31
17820,thats not task defer,20
17821,Task defer,10
17822,"How will i add Custom functions like ""getrawmetatable"" and ""setrawmetatable""",76
17823,oh this guy is cherpixel,24
17824,oh no 😱,7
17825,ggg,3
17826,pro reverser,12
17827,"a1 -> L, a2 -> void*, a3 -> const char`*` (chunkname), a4 -> put this as 0 when passing",87
17828,I found it,10
17829,Only 1 Argument?,16
17830,slowly getting there ain't we,29
17831,only useful for getscriptclosure,32
17832,instead of making yourself a clown and using luavm load,55
17833,just update fucking luau and use luau load,42
17834,because it's the truth,22
17835,why skull?,10
17836,first arg is L,14
17837,I'm totally guessing it uses ls in one of it's arguments,56
17838,but you can call it from luau source,36
17839,retard i know that,18
17840,:JohnDoe:,9
17841,just call luau_load,19
17842,luavm::load so gay,18
17843,pseudocode inside luavm::load,29
17844,luavm::load calls luaF_newproto,31
17845,In the same Pseudocode or inside of the Luavm::load?,52
17846,luaF_newproto is in luavm::load,31
17847,ask xspy,8
17848,How will i get LuaF_newprotos,29
17849,set,3
17850,Then*,5
17851,"They get the decryption key or de obfuscate it, I can't really help you.",72
17852,AAAAAAAAAA,10
17853,AAAAAAAA,8
17854,WHERE IS THE BOTTTT,19
17855,-speechbubble,13
17856,-speechbuble,12
17857,-speechblbe,11
17858,-spechbuble,11
17859,shut the fuck up github pfp,27
17860,u get luavm,11
17861,push luavm to cliff,19
17862,luavm,5
17863,compile,7
17864,Its clent sided,15
17865,"Мало того, вы не можете извлечь из этого столько пользы, но и только базовые вещи, такие как вызов print или какой-либо другой функции, возможны",144
17866,"Хотя это работает, это может быть обнаружено.",45
17867,Не так,6
17869,nned a Remote Event deObsfucator,32
17870,And it's child protos,21
17871,Yeah you need to set capability for the proto that's pushed by luavmload,72
17872,is the right order,18
17873,pop,3
17874,spawn/defer,11
17875,"set cap, identity",17
17876,luavmload,9
17877,compile bytecode,16
17878,"Хуйня, не? Польза какая?",24
17879,skul,4
17880,free printsploit thread  🤑🤑🤑 (the person who made this thread totally not a retard),83
17881,maybe if I'm bored,18
17882,I'm not gonna spoonfeed you,27
17883,pls learn bro,13
17884,ok thank you nigger,19
17885,-10002 is LUA_GLOBALSINDEX,26
17886,pushvalue(-10002),17
17887,you're fjcking reyarded,23
17888,how to set getgenv,18
17889,crazy exploit,13
17890,protos gamer,12
17891,if you dont call load,21
17892,what protos are you gonna set,29
17893,i dont even know u,18
17894,are u fucking dumb,18
17895,You think I don't do that?,26
17896,I haven't set capabilities yet,30
17897,I am on Windows now,19
17898,I was on Mac earlier,20
17899,It was different,16
17900,bro became elite,16
17901,how have you not fixed it,25
17902,months,6
17903,you've been struggling with this,32
17904,shut up ape,11
17905,set all protos children,23
17906,Crashes if setting protos,25
17907,I have GitHub connected,23
17908,I'm working on a internal with him,34
17909,Mine was set 4 months ago,25
17910,and said no at the same time,28
17911,very convincing considering u guys have github default pfp,58
17912,so basically u are skid,23
17913,is pixelated ur alt,19
17914,You didn't make the text you are texting either,47
17915,Skid that plagiarizes,21
17916,You didn't even create the picture you sent,43
17917,its how nihon bypasses roblox detecting allocation,50
17918,"set a conditional breakpoint on NtQueryVirtualMemory, so if the 2nd arg of it is ur page just hax it",100
17919,fym,3
17920,Never heard of Nihon,20
17921,NtQueueVirtualMemory?,21
17922,Alot of exploits like nihon spoof like to NTqvm its their UD method,67
17923,I've found injection at least for now,37
17924,they also iterate over the VAD via VirtualQuery  so your allocated memory is dtc by roblox,90
17925,I've tried all injection methods I could find multiple times,60
17926,Is that even correct?,21
17927,roblox checks your threads start address for all LoadLibrary variants,69
17928,"never said it had to be for Roblox, so..",40
17929,0x3FFFF03,9
17930,this won't help,15
17931,How will that help?,19
17932,use 0x7FFFFFFFFFFF,18
17933,"For setting capabilities, should i use 0x3FFFF00 or 0x3FFFFF00?",63
17934,"no, imusing a phone with only discord",37
17935,"I suppose you've heard about that, right?",41
17936,You have the Internet right before you,38
17937,Research,8
17938,nobody has video,16
17939,shuffling members of a struct or enum according to tobias,57
17940,how to inject a dll file?,25
17941,I've never heard of shuffles before,35
17942,"shut up, skid",13
17943,just use shuffles don't melt your brain,39
17944,yes I think,11
17945,sandbox,7
17946,backup,6
17947,task,4
17948,comple ur bytecode,18
17949,set capabilities,16
17950,set identity,12
17951,"Setting capability of protos should happen right before LuaVM::load, right?",75
17952,terry davis was an exception,28
17953,is an exception!,16
17954,why people thinks a solo dev can make an undetected product,59
17955,the fuck,8
17956,xspy never releasing! cus im detected,37
17957,i had to make new project 5 times,33
17958,and im lazy to change,21
17959,but they all detected,21
17960,i can update them if i wanted to,32
17961,i still got my sources,22
17962,too sad,7
17963,too bad,7
17964,dont trust me,13
17965,if you,6
17966,ye tragic,9
17967,and OF COURSE the server got nuked,34
17968,i think i remember seeing you posting about that,48
17969,it was the last it was gonna release,36
17970,we were so close,16
17971,didnt you say you were gonna release a year ago,47
17972,nooooo,6
17973,poof everything gone,20
17974,until the server got nuked,26
17975,and then it was gonna releaseand then it was gonna release,58
17976,and then it was gonna release,29
17977,💥💥💥💥💥💥💥💥💥💥💥💥💥💥,14
17978,💥💥💥💥💥💥💥💥💥💥💥,11
17979,💥💥💥💥💥💥💥💥💥💥💥💥💥,13
17980,💣💣💣💣💣💣💣💣 💥💥💥💥💥💥💥💥💥💥,19
17981,it was gonna release,20
17982,yet my server got,17
17983,i dont have time,16
17984,im not releasing shit,21
17985,# never,7
17986,when my pussy gets fucked,25
17987,whens that executor coming out,30
17988,oh hello xspy,13
17989,i insulted the owner and some people,36
17990,i am too but i insulted like,28
17991,watch out hes in humorous cartels server,40
17992,"just got luavm_load , noradadrenalina +999 aura +999 fanum tax +999 blox fruit lvl 999+",87
17993,yes he wanna have sex with me,29
17994,No middle option,16
17995,"40 year old pedo or 12 year old, one of the two",47
17996,and he still targets me,23
17997,there is some nigga who skids more than me,42
17998,attention maybe,15
17999,well idk what he want from me,29
18000,Maybe they are obssessed with you or something idk,50
18001,he start to yap,15
18002,when i type,11
18003,hamster does it,15
18004,No one is spying on you,23
18005,funny how some ppl like hamster spying on me to say that im skid,64
18006,"Ill make it easy for you then: Retard, get a life.",50
18007,well nigga there is decode option,33
18008,I know its base64. Because I encrypted it.,42
18009,i'm sure the community at large could benefit from a clean solution to this puzzle,82
18010,once someone solves it can someone do a writeup?,48
18011,its base64 so go decode it in some site noob,44
18012,its 2 hard,10
18013,I made it easy for you.,23
18014,Decrypt this: UmV0YXJkLCBnZXQgYSBsaWZlLg==,42
18015,Most useless kid ever.,22
18016,yes delete system 32,20
18017,Do you even know how to solve that problem?,43
18019,but still talking with me,25
18020,u also said u out of here,25
18021,go learn,8
18022,Yeh sure bro,12
18023,and learn how to type,21
18024,yeah u should go take this information seriously,48
18025,"Thanks for the information.\nI understand you feel threatened, and must rip at everything you can.",98
18026,"""Haha, noob."" 🗿",15
18027,so learn how to type,20
18028,not whining,11
18029,its winning,11
18030,k noob,6
18031,yeah sure but not really sicne i dont know if its true,54
18032,"Yeh, have fun.\nIf you had the capacity and decency to answer my question you complained to you would have.\nI am out of here, have fun being a retard. And whining about the fact that ur a skid.",194
18033,im not good about u being a bitch,33
18034,ok noobie,9
18035,Makes sense.,12
18036,You good?,9
18037,"I don't really care tbh. ""ngl i kinda need spoonfeeding too cuz""",64
18038,then i will listen to what u saying,35
18039,maybe u should stop acting like a bitch,39
18040,ok noooob,9
18041,Nice comeback.,14
18042,"By ""us"" you mean, that you don't understand it, and you were insulted, so you feel the need to take it out on someone.",118
18043,ok so answer why u telling us this,34
18044,But I never asked you to complain in the first place.,53
18045,Yes I do care why you complained for no reason.,47
18046,my*,3
18047,about mu opinion,16
18048,so u care,9
18049,u asked what problem do i have,30
18050,oh btw,6
18051,Good luck.,10
18052,u nigga shut,12
18053,I never asked for your opinion either.,38
18054,because why we need info about what u doing,43
18055,Why are you complaining about it?,33
18056,yes why u telling us about it,29
18057,Is there a problem?,19
18058,"I found I am correct in assuming that the code is decrypted localy, as the code outside the encrypted part is the only thing seperate from the rest of the code, which calculates numbers, and reads a variable.",208
18059,Yo,2
18061,Will use,8
18062,Sweet,5
18063,Are sockets detected,20
18064,is one the fastest communication methods,40
18065,socket,6
18066,he was in the old server,24
18067,username?,9
18068,@gogo,5
18069,he si,5
18070,gogo aint here,14
18071,gogo ig,7
18072,change it,9
18073,intercept response,18
18074,no hes not,10
18075,(he does),9
18076,facts,5
18077,fiddle you don't even know how to inject into Roblox,52
18078,get this skid out of here,25
18079,y'all know a good method for shuffle9?,38
18080,I'll see,8
18081,but probably undetected,23
18082,use bytessss,12
18083,its autistic af,15
18084,http,4
18085,For communication between the UI and the DLL,44
18086,What is another method that is undetected,41
18087,Are pipes detected?,19
18088,"me when roblox.contact(""can i inject"");",39
18089,"This is a coding-help channel, I will occupy this as the general.",65
18090,Biggest scam in the world.,26
18091,\n\nend to nsa to end encrypted,31
18093,"Friends, will the feds still catch me after this ?",50
18094,Fair enough.,12
18095,He's peak intellect,19
18096,Would it still count ?,22
18097,"What if, there was someone smarter ?",36
18098,"Sarcastic approach, hear me out you say that because he is the only smartest person in this server.",99
18099,(i hope you understand sarcasm),31
18100,he's too smart for anyone,25
18101,"I just wanted to know, who is the ""most"" smart here.",52
18102,When I directed or stated I was challenging him ?,49
18103,you won't stand a chance,24
18104,why are you challenging him?,28
18105,Good for him then.,18
18106,lmaoo,5
18107,"Who has the most intellectual potential, inside this server ?",61
18108,Rn it takes a few hours to inject,33
18109,Yeah tho ideally it'd be a bit faster,37
18110,shit you're smart,17
18111,"Friends, what do I do with this information ?",45
18112,My executor has a feature set up to automatically send the email and wait for a response whenever u press inject,112
18113,True,4
18114,(contact,8
18115,ask roblox permission to inject,31
18116,Though i'm gonna be gone for a few days anyway,46
18117,Yeah i use that,15
18118,@igroo,6
18119,spoof luavm,11
18120,aaaaaaaaaaaaaaaaaaa,19
18121,"-> = storage - this\n\n""="" = value + this",41
18122,and I'm not home rn so I can't test it,38
18123,it's shuffle6,13
18124,cause maybe its because its shuffle7,36
18125,"thats why i said, does it work for you?",39
18126,also doesn't work even if i use the other encryptions,53
18127,still doesn't work,18
18128,which i use,11
18129,this + storage,14
18130,storage - this,14
18131,tobias told me its the add one,30
18132,going off memory here,21
18133,idk tho I'm at school,21
18134,pretty sure it's sub encoding,29
18135,yeah well ik that,17
18136,i was just showing how it's a vmvalue,37
18137,they changed a lot since 2016,29
18138,doesn't have that anymore,25
18139,cause luaua,11
18140,and it works?,13
18141,that's 2016 source,18
18142,wait its in shuffle7,20
18143,where'd u get that,18
18144,addenc?,7
18145,and it still doesn't work,25
18146,i used vmvalue with addenc,26
18147,luavmvalue,10
18148,it's encrypted,14
18149,and do it that way,18
18150,"so after some time i decided that if L->global doesn't work, then i will just recreate how roblox does lua_newthread internally",127
18151,i only set cap for one proto,28
18152,dw I got it,11
18153,(look into TEB),15
18154,not only in userdata,20
18155,you need to change it on the actual thread,42
18156,also for setidentity,20
18157,you need to also set all child protos,37
18158,Thats not enough,16
18159,I set the capability of the proto that's pushed by luavm_load,61
18160,of all protos,13
18161,Do you set the capability,25
18162,but some shit errors with this,30
18163,I can run iy and shit,21
18164,You didnt set capabilities,26
18165,"what's ""capability unknown""",27
18166,and u called me retard for answering print,42
18167,"puts, p, print",14
18168,the fact that thats the only shit u know,40
18169,minutes,7
18170,minuwz,6
18171,1 fuckinf,9
18172,8 minutes???,12
18173,i closed the app fully,22
18174,ctrl r,6
18175,takes 10 seconds,16
18176,innocence,9
18177,how you gonna show on screenshare if discord will crash,55
18178,hey guys lemme restart my discord rq,36
18179,8 mins to restart discord is wild,33
18180,i cna literlalt show h on screeenn share,40
18181,look at what this larp's excuses is now,39
18182,it does not take you 8 minutes to restart discord,49
18183,- realme\n- 16gb,16
18184,is that your phone,18
18185,16gb max,8
18186,it used 3G,10
18187,realme,6
18188,and 2 cores cpu,15
18189,i think it had 1 GB ram,23
18190,2014 samsung phone,18
18191,if crashed,10
18192,but it took 23 seconds to restart an app,40
18193,i had even worse,16
18194,crappy chinese android i can literally send u the brand rn and the speed test,77
18195,i use,5
18196,for an android,14
18197,doesnt take 8 minutes,21
18198,so basically i have to restart discord,38
18199,nice excuse,11
18200,it took 8 minutes to realize print also exists,46
18201,my discord glitched while i was typing johndoe emoji,52
18202,"""who uses puts""",15
18203,nobody making up excuses,24
18204,yeah now you're making up excuses,33
18205,who uses puts,13
18206,or did you use chatgpt to see why you got something wrong,57
18207,did it take you that long to realize lmao,41
18208,u retard,8
18209,nah you are gng,15
18210,stupid or what,14
18211,gang this is crazy,18
18212,swhat is the print keyword in ruby and how do you define functions?,67
18213,its print,9
18214,hanged,6
18215,im hopping off bye bye larper,29
18216,ok that checks out,18
18217,-14,3
18218,-13,3
18219,-12,3
18220,-11,3
18221,-10,3
18222,-9,2
18223,-8,2
18224,-6,2
18225,-3,2
18226,-2,2
18227,-1,2
18228,what is the print keyword in ruby and how do you define functions?,66
18229,oon god?,8
18230,i only know the basics actually,31
18231,the most useless language ever known,36
18232,calls me skid or larper (its impossible to tell which one since he can never decide) yet he knows ruby,102
18233,im wasting my time here,23
18234,warn,4
18235,have you been living under a rock,33
18236,that meme died 1 year ago,25
18237,not skidding,12
18238,that is called larping,22
18239,u cant code shit buddy,22
18240,cant tell anything,18
18241,yeah because you're a skid,26
18242,i cant tell if this is ragebait or not,38
18243,it was hypothetical,19
18244,"give me a ss of me saying ""i got a smart role back then""",56
18245,ok then skid,12
18246,i never siad i got smart role,29
18247,then skid,9
18248,wheres proof of you having smart role,37
18249,no proof old server got banned,30
18250,prooffff,8
18251,i asked too,11
18252,old hydra,9
18253,i need a confirmation,21
18254,because I asked for it,22
18255,you got nuclear retard,22
18256,gang is this real 💔,19
18257,not having the smart role makes you skid,40
18258,i think its down syndrome,25
18259,he doesnt know the full story thats why hes acting like the special child of hydra,82
18260,i contribute dshits,19
18261,you were involved with a pysploit,33
18262,they only **think** of me as a skid although it is not proven i am skid,71
18263,**Boom! plusgiant4 hit a bomb! Game over.**,43
18264,everyone here thinks you are a skid,35
18265,quiet down,10
18266,you're literally a skid,23
18267,am I right chat?@,17
18268,I think nop does same instructions as jmp,41
18269,I wish I was as great of a reverse engineer as the developers at Celery.,72
18270,yes very smart team,19
18271,Celery is such a great executor.,32
18272,😭😭😭😭😭,5
18273,PRINT ISNT REGISTERED?,22
18274,skdi,4
18275,sure dm me,10
18276,can someone help me with setting capabilities',46
18277,"you're known as a skid, ratter and a retard",43
18278,do u actually beat niggers,26
18279,Link?,5
18280,crazy,5
18281,im not that famous,18
18282,Never heard of it,17
18283,"ok so i was missing a shuffle for freepages, though it still crashes at if (!page) in newgcoblock for some reason",113
18284,written in lua,14
18285,humorouscartel revamp,21
18286,What source,11
18287,i hope my new dev wont leak my source,37
18288,So it's worthless,17
18289,Also I don't use that shit anymore,34
18290,It's from plusgiant but ok,26
18292,so you got all shuffles?,24
18293,I got New thread do i have to get sandbox thread too?,53
18294,i apologies but it seems the previous method is no longer effective,67
18295,yeah it crashes at that for some reason,39
18296,it seems to crash at getting allgcopages,40
18297,well i have no idea why it doesn't work,39
18298,"I got new thread, How will i get sandbox thread",47
18299,I mean I keep updating  and I got no issue,42
18300,insane executor,15
18301,and sometimes it doesn't,24
18302,and not crash,13
18303,like it displays values,23
18304,also the more funny part is that sometimes it works,51
18305,Well shit then,14
18306,well i gave  global_State* and lua_State* to him and he said it was fine,72
18307,Ok maybe u patched ur luau lib wrong,36
18308,and he said they are right,26
18309,i also verified them with tobias,32
18310,And you're sure your shuffles are right?,40
18311,and he had no problems,22
18312,i verified them with tobias,27
18313,they are correct,16
18314,Vmvalues,8
18315,whenever i try to access global->allgcopages or global->gcthresold or some values of global it just crashes,107
18316,Bravo,5
18317,Crazy how you didn't skid the most obvious shit,47
18318,but i never skidded it,22
18319,So what's the problem,21
18320,yeah ur right,13
18321,ggggggggggggggggggggggggggg,27
18322,and they are correct,20
18323,i already have shuffles,23
18324,thats not the problem,21
18325,Like half of them are free,26
18326,Ok get shuffles,15
18327,i'm trying to make lua_newthread work,37
18328,well i'm not trying to set capabilities rn,42
18329,tells u exactly how to set capabilities,39
18330,literally look at the bottom of loadstring,42
18331,crazy how I managed to set capabilities without shuffles,56
18332,"""my capability setter"" bro you didn't invent setting capabilities",65
18333,MY PROFITS GO TO 0 WHEN THE PYMEM DIRECTORY IS GONE,51
18334,I LOVE PYMEM!!!!!!!!!!!!!,25
18335,Want a medal for writing a lvl3 shitsploit???,45
18336,i only know pressure machine,28
18337,the guy getting pressed,23
18338,he contributed to a pysploit and thinks hes a someone now,57
18339,"""nooo whyyy u spoonfeeding daddy master dont spoonfeed this skid"" 🥺🥺🥺🥺",70
18340,why this nigga so pressed about me,34
18341,to find it,10
18342,well he still has to look in luavm,34
18343,spoonfeeding,12
18344,nooo WHYYY,10
18345,"yes, and luaf_newproto generates them",37
18346,proto->sizep,12
18347,"i'm gonna give one hint, its in luavm::load",43
18348,dont i need protos like,23
18349,find luaf_newproto and then use that,36
18350,well you can set capabilities on protos withouth shuffles,57
18351,and protos,10
18352,i want to set capabilities,26
18353,id rather use without shuffles,30
18354,"shuffle8 idk, shuffle9 look at protos",37
18355,"shuffle4 look in luavm, shuffle6 look in coroutines",51
18356,by just looking at luau and comparing the jumptables,52
18357,"shuffle3, 5 and 7 should be easy to get",39
18358,do you know how to use ida pro to reverse engineer?,51
18359,and ive been making a internal for a few weeks,46
18360,i dont know how to get shuffles,31
18361,if you get all shuffles,23
18362,and also all of luau,20
18363,"well then try to get shuffles, it will help when trying to set capabilities / identity and you will have access to lua_newthread",128
18364,its just for self use,21
18365,+ im not releasing my exec,26
18366,"if you just paste and not understand, then its useless",54
18367,"you can be a paster, but atleast try to understand what the code does",69
18368,call me whatever u want,23
18369,"do you even know what's ""hop off my dick"" means",47
18370,i legit dont care if im a skid and paster,41
18371,now hop off my dick,19
18372,ok bud,6
18373,you are saying that word because you are copying somebody's flow,64
18374,no idea why though,18
18375,"also found something interesting, on pc the lua_State is usually 1 or 2, but on laptop its actually 3 or 5",106
18376,script kiddie,13
18377,u dont even know skid means,27
18378,yeah right,10
18379,i never skid shits,18
18380,u skid everything,17
18381,ur asking me,12
18382,u need the 2019 knowledge,25
18383,ur a skid too,13
18384,quit yapping,12
18385,no u cant lol,13
18386,u cant set protos,17
18387,both required to use protos on luau,35
18388,i will,6
18389,or just find shuffle4 and shuffle9,34
18390,i think thats how that works,28
18391,i mean its just find the newproto function and then set capabilities on that,76
18392,OH SHTI I FORGOT AOUT THAT LOLL,31
18393,also you have to still set capabilities on protos,49
18394,ok buddy,8
18395,special kid,11
18396,ED as fuck,10
18397,shut the fuck up beggar,23
18398,and earn it,11
18399,suck dicks,10
18400,is beg for it,13
18401,all u will do,13
18402,u cant,6
18403,its inline,10
18404,u cant get the new offset,25
18405,thanks for telling the problem,30
18406,AAA,3
18407,LOLLL,5
18408,WRONG OFFSET,12
18409,LOLLLLLL,8
18410,istg bro skids copied my shit now they tryna copy my capability setter,70
18411,public execution,16
18412,LMAFO,5
18413,THATS LITERALLY,15
